"location_fips_code","location_name","location_type","population","state","county","metro"
"0455000","Phoenix, AZ","City",1609456,"Arizona","Maricopa County","Phoenix-Mesa-Chandler, AZ"
"4260000","Philadelphia, PA","City",1593208,"Pennsylvania","Philadelphia County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"42101","Philadelphia County, PA","County",1593208,"Pennsylvania","Philadelphia County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"06067","Sacramento County, CA","County",1579211,"California","Sacramento County","Sacramento-Roseville-Folsom, CA"
"33340","Milwaukee-Waukesha, WI","Metro",1568940,"","","Milwaukee-Waukesha, WI"
"36103","Suffolk County, NY","County",1524486,"New York","Suffolk County","New York-Newark-Jersey City, NY-NJ-PA"
"12099","Palm Beach County, FL","County",1494805,"Florida","Palm Beach County","Miami-Fort Lauderdale-Pompano Beach, FL"
"12057","Hillsborough County, FL","County",1468560,"Florida","Hillsborough County","Tampa-St. Petersburg-Clearwater, FL"
"15","Hawaii","State",1450589,"Hawaii","",""
"4865000","San Antonio, TX","City",1445662,"Texas","Bexar County","San Antonio-New Braunfels, TX"
"36420","Oklahoma City, OK","Metro",1428923,"","","Oklahoma City, OK"
"12095","Orange County, FL","County",1427403,"Florida","Orange County","Orlando-Kissimmee-Sanford, FL"
"39580","Raleigh-Cary, NC","Metro",1420825,"","","Raleigh-Cary, NC"
"36059","Nassau County, NY","County",1389160,"New York","Nassau County","New York-Newark-Jersey City, NY-NJ-PA"
"0666000","San Diego, CA","City",1383987,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA"
"33","New Hampshire","State",1379610,"New Hampshire","",""
"23","Maine","State",1366949,"Maine","",""
"32820","Memphis, TN-MS-AR","Metro",1335804,"","","Memphis, TN-MS-AR"
"39049","Franklin County, OH","County",1318149,"Ohio","Franklin County","Columbus, OH"
"40060","Richmond, VA","Metro",1316145,"","","Richmond, VA"
"4819000","Dallas, TX","City",1300642,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX"
"48453","Travis County, TX","County",1289054,"Texas","Travis County","Austin-Round Rock-Georgetown, TX"
"31140","Louisville/Jefferson County, KY-IN","Metro",1282588,"","","Louisville/Jefferson County, KY-IN"
"26125","Oakland County, MI","County",1272264,"Michigan","Oakland County","Detroit-Warren-Dearborn, MI"
"27053","Hennepin County, MN","County",1270787,"Minnesota","Hennepin County","Minneapolis-St. Paul-Bloomington, MN-WI"
"35380","New Orleans-Metairie, LA","Metro",1264357,"","","New Orleans-Metairie, LA"
"39035","Cuyahoga County, OH","County",1256620,"Ohio","Cuyahoga County","Cleveland-Elyria, OH"
"41620","Salt Lake City, UT","Metro",1254675,"","","Salt Lake City, UT"
"42003","Allegheny County, PA","County",1245310,"Pennsylvania","Allegheny County","Pittsburgh, PA"
"25540","Hartford-East Hartford-Middletown, CT","Metro",1215703,"","","Hartford-East Hartford-Middletown, CT"
"49035","Salt Lake County, UT","County",1180643,"Utah","Salt Lake County","Salt Lake City, UT"
"15380","Buffalo-Cheektowaga, NY","Metro",1163462,"","","Buffalo-Cheektowaga, NY"
"06013","Contra Costa County, CA","County",1162648,"California","Contra Costa County","San Francisco-Oakland-Berkeley, CA"
"51059","Fairfax County, VA","County",1145354,"Virginia","Fairfax County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"37183","Wake County, NC","County",1132103,"North Carolina","Wake County","Raleigh-Cary, NC"
"37119","Mecklenburg County, NC","County",1115403,"North Carolina","Mecklenburg County","Charlotte-Concord-Gastonia, NC-SC"
"13820","Birmingham-Hoover, AL","Metro",1114368,"","","Birmingham-Hoover, AL"
"44","Rhode Island","State",1094250,"Rhode Island","",""
"30","Montana","State",1091840,"Montana","",""
"24340","Grand Rapids-Kentwood, MI","Metro",1087068,"","","Grand Rapids-Kentwood, MI"
"48085","Collin County, TX","County",1079153,"Texas","Collin County","Dallas-Fort Worth-Arlington, TX"
"13121","Fulton County, GA","County",1061944,"Georgia","Fulton County","Atlanta-Sandy Springs-Alpharetta, GA"
"24031","Montgomery County, MD","County",1056910,"Maryland","Montgomery County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"46060","Tucson, AZ","Metro",1042393,"","","Tucson, AZ"
"04019","Pima County, AZ","County",1042393,"Arizona","Pima County","Tucson, AZ"
"46140","Tulsa, OK","Metro",1017724,"","","Tulsa, OK"
"46520","Urban Honolulu, HI","Metro",1010100,"","","Urban Honolulu, HI"
"15003","Honolulu County, HI","County",1010100,"Hawaii","Honolulu County","Urban Honolulu, HI"
"23420","Fresno, CA","Metro",1008280,"","","Fresno, CA"
"06019","Fresno County, CA","County",1008280,"California","Fresno County","Fresno, CA"
"0668000","San Jose, CA","City",1001176,"California","Santa Clara County","San Jose-Sunnyvale-Santa Clara, CA"
"29189","St. Louis County, MO","County",999703,"Missouri","St. Louis County","St. Louis, MO-IL"
"36119","Westchester County, NY","County",997904,"New York","Westchester County","New York-Newark-Jersey City, NY-NJ-PA"
"12031","Duval County, FL","County",995708,"Florida","Duval County","Jacksonville, FL"
"10","Delaware","State",993635,"Delaware","",""
"49340","Worcester, MA-CT","Metro",975551,"","","Worcester, MA-CT"
"18097","Marion County, IN","County",971737,"Indiana","Marion County","Indianapolis-Carmel-Anderson, IN"
"36540","Omaha-Council Bluffs, NE-IA","Metro",966688,"","","Omaha-Council Bluffs, NE-IA"
"12103","Pinellas County, FL","County",959918,"Florida","Pinellas County","Tampa-St. Petersburg-Clearwater, FL"
"14860","Bridgeport-Stamford-Norwalk, CT","Metro",958371,"","","Bridgeport-Stamford-Norwalk, CT"
"4805000","Austin, TX","City",958202,"Texas","Travis County","Austin-Round Rock-Georgetown, TX"
"13135","Gwinnett County, GA","County",957977,"Georgia","Gwinnett County","Atlanta-Sandy Springs-Alpharetta, GA"
"24033","Prince George's County, MD","County",957189,"Maryland","Prince George's County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"34003","Bergen County, NJ","County",953243,"New Jersey","Bergen County","New York-Newark-Jersey City, NY-NJ-PA"
"36029","Erie County, NY","County",951232,"New York","Erie County","Buffalo-Cheektowaga, NY"
"1235000","Jacksonville, FL","City",950203,"Florida","Duval County","Jacksonville, FL"
"55079","Milwaukee County, WI","County",933063,"Wisconsin","Milwaukee County","Milwaukee-Waukesha, WI"
"24860","Greenville-Anderson, SC","Metro",931405,"","","Greenville-Anderson, SC"
"17043","DuPage County, IL","County",930559,"Illinois","DuPage County","Chicago-Naperville-Elgin, IL-IN-WI"
"47157","Shelby County, TN","County",926440,"Tennessee","Shelby County","Memphis, TN-MS-AR"
"4827000","Fort Worth, TX","City",924663,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX"
"53053","Pierce County, WA","County",918993,"Washington","Pierce County","Seattle-Tacoma-Bellevue, WA"
"10740","Albuquerque, NM","Metro",915968,"","","Albuquerque, NM"
"48121","Denton County, TX","County",914870,"Texas","Denton County","Dallas-Fort Worth-Arlington, TX"
"3918000","Columbus, OH","City",902449,"Ohio","Franklin County","Columbus, OH"
"10580","Albany-Schenectady-Troy, NY","Metro",901729,"","","Albany-Schenectady-Troy, NY"
"46","South Dakota","State",890342,"South Dakota","",""
"28940","Knoxville, TN","Metro",884359,"","","Knoxville, TN"
"1836003","Indianapolis, IN","City",882006,"Indiana","Marion County","Indianapolis-Carmel-Anderson, IN"
"26099","Macomb County, MI","County",878453,"Michigan","Macomb County","Detroit-Warren-Dearborn, MI"
"3712000","Charlotte, NC","City",875045,"North Carolina","Mecklenburg County","Charlotte-Concord-Gastonia, NC-SC"
"32580","McAllen-Edinburg-Mission, TX","Metro",873167,"","","McAllen-Edinburg-Mission, TX"
"48215","Hidalgo County, TX","County",873167,"Texas","Hidalgo County","McAllen-Edinburg-Mission, TX"
"12940","Baton Rouge, LA","Metro",869755,"","","Baton Rouge, LA"
"21340","El Paso, TX","Metro",867161,"","","El Paso, TX"
"35300","New Haven-Milford, CT","Metro",866377,"","","New Haven-Milford, CT"
"48141","El Paso County, TX","County",863832,"Texas","El Paso County","El Paso, TX"
"10900","Allentown-Bethlehem-Easton, PA-NJ","Metro",863166,"","","Allentown-Bethlehem-Easton, PA-NJ"
"34023","Middlesex County, NJ","County",860147,"New Jersey","Middlesex County","New York-Newark-Jersey City, NY-NJ-PA"
"25027","Worcester County, MA","County",858898,"Massachusetts","Worcester County","Worcester, MA-CT"
"42091","Montgomery County, PA","County",856399,"Pennsylvania","Montgomery County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"34013","Essex County, NJ","County",853374,"New Jersey","Essex County","New York-Newark-Jersey City, NY-NJ-PA"
"0667000","San Francisco, CA","City",851036,"California","San Francisco County","San Francisco-Oakland-Berkeley, CA"
"06075","San Francisco County, CA","County",851036,"California","San Francisco County","San Francisco-Oakland-Berkeley, CA"
"24005","Baltimore County, MD","County",850737,"Maryland","Baltimore County","Baltimore-Columbia-Towson, MD"
"35840","North Port-Sarasota-Bradenton, FL","Metro",844461,"","","North Port-Sarasota-Bradenton, FL"
"37100","Oxnard-Thousand Oaks-Ventura, CA","Metro",842009,"","","Oxnard-Thousand Oaks-Ventura, CA"
"06111","Ventura County, CA","County",842009,"California","Ventura County","Oxnard-Thousand Oaks-Ventura, CA"
"48157","Fort Bend County, TX","County",832607,"Texas","Fort Bend County","Houston-The Woodlands-Sugar Land, TX"
"17900","Columbia, SC","Metro",831913,"","","Columbia, SC"
"53061","Snohomish County, WA","County",828337,"Washington","Snohomish County","Seattle-Tacoma-Bellevue, WA"
"39061","Hamilton County, OH","County",827671,"Ohio","Hamilton County","Cincinnati, OH-KY-IN"
"19430","Dayton-Kettering, OH","Metro",812506,"","","Dayton-Kettering, OH"
"41051","Multnomah County, OR","County",808098,"Oregon","Multnomah County","Portland-Vancouver-Hillsboro, OR-WA"
"25009","Essex County, MA","County",806103,"Massachusetts","Essex County","Boston-Cambridge-Newton, MA-NH"
"16700","Charleston-North Charleston, SC","Metro",803398,"","","Charleston-North Charleston, SC"
"40109","Oklahoma County, OK","County",795822,"Oklahoma","Oklahoma County","Oklahoma City, OK"
"25025","Suffolk County, MA","County",785443,"Massachusetts","Suffolk County","Boston-Cambridge-Newton, MA-NH"
"44700","Stockton, CA","Metro",779445,"","","Stockton, CA"
"06077","San Joaquin County, CA","County",779445,"California","San Joaquin County","Stockton, CA"
"21111","Jefferson County, KY","County",779232,"Kentucky","Jefferson County","Louisville/Jefferson County, KY-IN"
"38","North Dakota","State",776874,"North Dakota","",""
"24660","Greensboro-High Point, NC","Metro",775169,"","","Greensboro-High Point, NC"
"15980","Cape Coral-Fort Myers, FL","Metro",772902,"","","Cape Coral-Fort Myers, FL"
"12071","Lee County, FL","County",772902,"Florida","Lee County","Cape Coral-Fort Myers, FL"
"14260","Boise City, ID","Metro",771602,"","","Boise City, ID"
"13067","Cobb County, GA","County",765813,"Georgia","Cobb County","Atlanta-Sandy Springs-Alpharetta, GA"
"13089","DeKalb County, GA","County",761209,"Georgia","DeKalb County","Atlanta-Sandy Springs-Alpharetta, GA"
"17820","Colorado Springs, CO","Metro",755081,"","","Colorado Springs, CO"
"06081","San Mateo County, CA","County",754250,"California","San Mateo County","San Francisco-Oakland-Berkeley, CA"
"30780","Little Rock-North Little Rock-Conway, AR","Metro",749290,"","","Little Rock-North Little Rock-Conway, AR"
"29460","Lakeland-Winter Haven, FL","Metro",736229,"","","Lakeland-Winter Haven, FL"
"12105","Polk County, FL","County",736229,"Florida","Polk County","Lakeland-Winter Haven, FL"
"02","Alaska","State",734821,"Alaska","",""
"5363000","Seattle, WA","City",734603,"Washington","King County","Seattle-Tacoma-Bellevue, WA"
"08041","El Paso County, CO","County",730323,"Colorado","El Paso County","Colorado Springs, CO"
"25021","Norfolk County, MA","County",722112,"Massachusetts","Norfolk County","Boston-Cambridge-Newton, MA-NH"
"29095","Jackson County, MO","County",715526,"Missouri","Jackson County","Kansas City, MO-KS"
"17097","Lake County, IL","County",713159,"Illinois","Lake County","Chicago-Naperville-Elgin, IL-IN-WI"
"34017","Hudson County, NJ","County",712029,"New Jersey","Hudson County","New York-Newark-Jersey City, NY-NJ-PA"
"19780","Des Moines-West Des Moines, IA","Metro",711490,"","","Des Moines-West Des Moines, IA"
"0820000","Denver, CO","City",710800,"Colorado","Denver County","Denver-Aurora-Lakewood, CO"
"08031","Denver County, CO","County",710800,"Colorado","Denver County","Denver-Aurora-Lakewood, CO"
"47037","Davidson County, TN","County",709786,"Tennessee","Davidson County","Nashville-Davidson--Murfreesboro--Franklin, TN"
"10420","Akron, OH","Metro",700578,"","","Akron, OH"
"17197","Will County, IL","County",696774,"Illinois","Will County","Chicago-Naperville-Elgin, IL-IN-WI"
"36260","Ogden-Clearfield, UT","Metro",696650,"","","Ogden-Clearfield, UT"
"4752006","Nashville, TN","City",684103,"Tennessee","Davidson County","Nashville-Davidson--Murfreesboro--Franklin, TN"
"4055000","Oklahoma City, OK","City",681088,"Oklahoma","Oklahoma County","Oklahoma City, OK"
"31540","Madison, WI","Metro",678995,"","","Madison, WI"
"49180","Winston-Salem, NC","Metro",678243,"","","Winston-Salem, NC"
"39340","Provo-Orem, UT","Metro",677964,"","","Provo-Orem, UT"
"4824000","El Paso, TX","City",677181,"Texas","El Paso County","El Paso, TX"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","Metro",676035,"","","Deltona-Daytona Beach-Ormond Beach, FL"
"35001","Bernalillo County, NM","County",674692,"New Mexico","Bernalillo County","Albuquerque, NM"
"01073","Jefferson County, AL","County",672265,"Alabama","Jefferson County","Birmingham-Hoover, AL"
"11","District of Columbia","State",670587,"District of Columbia","",""
"1150000","Washington, DC","City",670587,"District of Columbia","District of Columbia","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"11001","District of Columbia County, DC","County",670587,"District of Columbia","District of Columbia","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"40143","Tulsa County, OK","County",668923,"Oklahoma","Tulsa County","Tulsa, OK"
"49049","Utah County, UT","County",666021,"Utah","Utah County","Provo-Orem, UT"
"2507000","Boston, MA","City",665945,"Massachusetts","Suffolk County","Boston-Cambridge-Newton, MA-NH"
"44007","Providence County, RI","County",657984,"Rhode Island","Providence County","Providence-Warwick, RI-MA"
"26081","Kent County, MI","County",657321,"Michigan","Kent County","Grand Rapids-Kentwood, MI"
"08005","Arapahoe County, CO","County",654453,"Colorado","Arapahoe County","Denver-Aurora-Lakewood, CO"
"20500","Durham-Chapel Hill, NC","Metro",648066,"","","Durham-Chapel Hill, NC"
"48620","Wichita, KS","Metro",646794,"","","Wichita, KS"
"4159000","Portland, OR","City",646101,"Oregon","Multnomah County","Portland-Vancouver-Hillsboro, OR-WA"
"42017","Bucks County, PA","County",645163,"Pennsylvania","Bucks County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"3240000","Las Vegas, NV","City",644835,"Nevada","Clark County","Las Vegas-Henderson-Paradise, NV"
"45780","Toledo, OH","Metro",644547,"","","Toledo, OH"
"34025","Monmouth County, NJ","County",643064,"New Jersey","Monmouth County","New York-Newark-Jersey City, NY-NJ-PA"
"2622000","Detroit, MI","City",636787,"Michigan","Wayne County","Detroit-Warren-Dearborn, MI"
"4748000","Memphis, TN","City",630027,"Tennessee","Shelby County","Memphis, TN-MS-AR"
"48339","Montgomery County, TX","County",629989,"Texas","Montgomery County","Houston-The Woodlands-Sugar Land, TX"
"2148000","Louisville, KY","City",629176,"Kentucky","Jefferson County","Louisville/Jefferson County, KY-IN"
"48491","Williamson County, TX","County",617396,"Texas","Williamson County","Austin-Round Rock-Georgetown, TX"
"12260","Augusta-Richmond County, GA-SC","Metro",612898,"","","Augusta-Richmond County, GA-SC"
"20091","Johnson County, KS","County",610742,"Kansas","Johnson County","Kansas City, MO-KS"
"37340","Palm Bay-Melbourne-Titusville, FL","Metro",610723,"","","Palm Bay-Melbourne-Titusville, FL"
"12009","Brevard County, FL","County",610723,"Florida","Brevard County","Palm Bay-Melbourne-Titusville, FL"
"41067","Washington County, OR","County",599541,"Oregon","Washington County","Portland-Vancouver-Hillsboro, OR-WA"
"25420","Harrisburg-Carlisle, PA","Metro",593318,"","","Harrisburg-Carlisle, PA"
"27140","Jackson, MS","Metro",591397,"","","Jackson, MS"
"24003","Anne Arundel County, MD","County",588109,"Maryland","Anne Arundel County","Baltimore-Columbia-Towson, MD"
"44060","Spokane-Spokane Valley, WA","Metro",585485,"","","Spokane-Spokane Valley, WA"
"2404000","Baltimore, MD","City",584548,"Maryland","Baltimore city","Baltimore-Columbia-Towson, MD"
"31055","Douglas County, NE","County",582638,"Nebraska","Douglas County","Omaha-Council Bluffs, NE-IA"
"08059","Jefferson County, CO","County",580519,"Colorado","Jefferson County","Denver-Aurora-Lakewood, CO"
"56","Wyoming","State",577929,"Wyoming","",""
"25005","Bristol County, MA","County",576699,"Massachusetts","Bristol County","Providence-Warwick, RI-MA"
"42045","Delaware County, PA","County",575312,"Pennsylvania","Delaware County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"5553000","Milwaukee, WI","City",573299,"Wisconsin","Milwaukee County","Milwaukee-Waukesha, WI"
"34039","Union County, NJ","County",572079,"New Jersey","Union County","New York-Newark-Jersey City, NY-NJ-PA"
"10003","New Castle County, DE","County",570567,"Delaware","New Castle County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"12101","Pasco County, FL","County",569211,"Florida","Pasco County","Tampa-St. Petersburg-Clearwater, FL"
"16860","Chattanooga, TN-GA","Metro",564466,"","","Chattanooga, TN-GA"
"3502000","Albuquerque, NM","City",562551,"New Mexico","Bernalillo County","Albuquerque, NM"
"55025","Dane County, WI","County",559891,"Wisconsin","Dane County","Madison, WI"
"12127","Volusia County, FL","County",558520,"Florida","Volusia County","Deltona-Daytona Beach-Ormond Beach, FL"
"29540","Lancaster, PA","Metro",553202,"","","Lancaster, PA"
"42071","Lancaster County, PA","County",553202,"Pennsylvania","Lancaster County","Lancaster, PA"
"38860","Portland-South Portland, ME","Metro",552916,"","","Portland-South Portland, ME"
"33700","Modesto, CA","Metro",552063,"","","Modesto, CA"
"06099","Stanislaus County, CA","County",552063,"California","Stanislaus County","Modesto, CA"
"22220","Fayetteville-Springdale-Rogers, AR","Metro",550596,"","","Fayetteville-Springdale-Rogers, AR"
"27123","Ramsey County, MN","County",547202,"Minnesota","Ramsey County","Minneapolis-St. Paul-Bloomington, MN-WI"
"0627000","Fresno, CA","City",541528,"California","Fresno County","Fresno, CA"
"0477000","Tucson, AZ","City",541033,"Arizona","Pima County","Tucson, AZ"
"37081","Guilford County, NC","County",539557,"North Carolina","Guilford County","Greensboro-High Point, NC"
"39153","Summit County, OH","County",539361,"Ohio","Summit County","Akron, OH"
"29620","Lansing-East Lansing, MI","Metro",538985,"","","Lansing-East Lansing, MI"
"53063","Spokane County, WA","County",538711,"Washington","Spokane County","Spokane-Spokane Valley, WA"
"42029","Chester County, PA","County",536474,"Pennsylvania","Chester County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"39113","Montgomery County, OH","County",536121,"Ohio","Montgomery County","Dayton-Kettering, OH"
"25023","Plymouth County, MA","County",529548,"Massachusetts","Plymouth County","Boston-Cambridge-Newton, MA-NH"
"45045","Greenville County, SC","County",528251,"South Carolina","Greenville County","Greenville-Anderson, SC"
"0664000","Sacramento, CA","City",523600,"California","Sacramento County","Sacramento-Roseville-Folsom, CA"
"20173","Sedgwick County, KS","County",522700,"Kansas","Sedgwick County","Wichita, KS"
"34007","Camden County, NJ","County",522581,"New Jersey","Camden County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"22180","Fayetteville, NC","Metro",522537,"","","Fayetteville, NC"
"08001","Adams County, CO","County",520149,"Colorado","Adams County","Denver-Aurora-Lakewood, CO"
"34031","Passaic County, NJ","County",519986,"New Jersey","Passaic County","New York-Newark-Jersey City, NY-NJ-PA"
"17089","Kane County, IL","County",517254,"Illinois","Kane County","Chicago-Naperville-Elgin, IL-IN-WI"
"30460","Lexington-Fayette, KY","Metro",515954,"","","Lexington-Fayette, KY"
"37860","Pensacola-Ferry Pass-Brent, FL","Metro",510290,"","","Pensacola-Ferry Pass-Brent, FL"
"34027","Morris County, NJ","County",508816,"New Jersey","Morris County","New York-Newark-Jersey City, NY-NJ-PA"
"2938000","Kansas City, MO","City",505958,"Missouri","Jackson County","Kansas City, MO-KS"
"53011","Clark County, WA","County",504091,"Washington","Clark County","Portland-Vancouver-Hillsboro, OR-WA"
"0446000","Mesa, AZ","City",503390,"Arizona","Maricopa County","Phoenix-Mesa-Chandler, AZ"
"16001","Ada County, ID","County",497494,"Idaho","Ada County","Boise City, ID"
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Metro",496299,"","","Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
"1304000","Atlanta, GA","City",494838,"Georgia","Fulton County","Atlanta-Sandy Springs-Alpharetta, GA"
"38940","Port St. Lucie, FL","Metro",494081,"","","Port St. Lucie, FL"
"26620","Huntsville, AL","Metro",493980,"","","Huntsville, AL"
"19153","Polk County, IA","County",493378,"Iowa","Polk County","Des Moines-West Des Moines, IA"
"39900","Reno, NV","Metro",490769,"","","Reno, NV"
"3137000","Omaha, NE","City",489201,"Nebraska","Douglas County","Omaha-Council Bluffs, NE-IA"
"42220","Santa Rosa-Petaluma, CA","Metro",488436,"","","Santa Rosa-Petaluma, CA"
"06097","Sonoma County, CA","County",488436,"California","Sonoma County","Santa Rosa-Petaluma, CA"
"32031","Washoe County, NV","County",486674,"Nevada","Washoe County","Reno, NV"
"47093","Knox County, TN","County",481406,"Tennessee","Knox County","Knoxville, TN"
"51153","Prince William County, VA","County",481114,"Virginia","Prince William County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"29180","Lafayette, LA","Metro",479865,"","","Lafayette, LA"
"0816000","Colorado Springs, CO","City",479612,"Colorado","El Paso County","Colorado Springs, CO"
"28660","Killeen-Temple, TX","Metro",477577,"","","Killeen-Temple, TX"
"44180","Springfield, MO","Metro",477056,"","","Springfield, MO"
"12117","Seminole County, FL","County",471321,"Florida","Seminole County","Orlando-Kissimmee-Sanford, FL"
"11700","Asheville, NC","Metro",469484,"","","Asheville, NC"
"3755000","Raleigh, NC","City",465517,"North Carolina","Wake County","Raleigh-Cary, NC"
"0643000","Long Beach, CA","City",462293,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA"
"34005","Burlington County, NJ","County",461853,"New Jersey","Burlington County","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"5182000","Virginia Beach, VA","City",457900,"Virginia","Virginia Beach city","Virginia Beach-Norfolk-Newport News, VA-NC"
"51810","Virginia Beach County, VA","County",457900,"Virginia","Virginia Beach city","Virginia Beach-Norfolk-Newport News, VA-NC"
"22033","East Baton Rouge County, LA","County",454369,"Louisiana","East Baton Rouge Parish","Baton Rouge, LA"
"46700","Vallejo, CA","Metro",450995,"","","Vallejo, CA"
"06095","Solano County, CA","County",450995,"California","Solano County","Vallejo, CA"
"42200","Santa Maria-Santa Barbara, CA","Metro",445213,"","","Santa Maria-Santa Barbara, CA"
"06083","Santa Barbara County, CA","County",445213,"California","Santa Barbara County","Santa Maria-Santa Barbara, CA"
"1245000","Miami, FL","City",443665,"Florida","Miami-Dade County","Miami-Fort Lauderdale-Pompano Beach, FL"
"12115","Sarasota County, FL","County",439392,"Florida","Sarasota County","North Port-Sarasota-Bradenton, FL"
"27037","Dakota County, MN","County",439179,"Minnesota","Dakota County","Minneapolis-St. Paul-Bloomington, MN-WI"
"0653000","Oakland, CA","City",437825,"California","Alameda County","San Francisco-Oakland-Berkeley, CA"
"22051","Jefferson County, LA","County",436171,"Louisiana","Jefferson Parish","New Orleans-Metairie, LA"
"41420","Salem, OR","Metro",433415,"","","Salem, OR"
"04021","Pinal County, AZ","County",433338,"Arizona","Pinal County","Phoenix-Mesa-Chandler, AZ"
"39095","Lucas County, OH","County",430014,"Ohio","Lucas County","Toledo, OH"
"33660","Mobile, AL","Metro",429312,"","","Mobile, AL"
"2743000","Minneapolis, MN","City",426877,"Minnesota","Hennepin County","Minneapolis-St. Paul-Bloomington, MN-WI"
"31700","Manchester-Nashua, NH","Metro",422733,"","","Manchester-Nashua, NH"
"33011","Hillsborough County, NH","County",422733,"New Hampshire","Hillsborough County","Manchester-Nashua, NH"
"18580","Corpus Christi, TX","Metro",422187,"","","Corpus Christi, TX"
"41540","Salisbury, MD-DE","Metro",421982,"","","Salisbury, MD-DE"
"15180","Brownsville-Harlingen, TX","Metro",421854,"","","Brownsville-Harlingen, TX"
"48061","Cameron County, TX","County",421854,"Texas","Cameron County","Brownsville-Harlingen, TX"
"41005","Clackamas County, OR","County",420925,"Oregon","Clackamas County","Portland-Vancouver-Hillsboro, OR-WA"
"51107","Loudoun County, VA","County",420773,"Virginia","Loudoun County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"23060","Fort Wayne, IN","Metro",419715,"","","Fort Wayne, IN"
"25060","Gulfport-Biloxi, MS","Metro",416839,"","","Gulfport-Biloxi, MS"
"45079","Richland County, SC","County",416161,"South Carolina","Richland County","Columbia, SC"
"01097","Mobile County, AL","County",413878,"Alabama","Mobile County","Mobile, AL"
"4075000","Tulsa, OK","City",411938,"Oklahoma","Tulsa County","Tulsa, OK"
"45019","Charleston County, SC","County",409840,"South Carolina","Charleston County","Charleston-North Charleston, SC"
"55133","Waukesha County, WI","County",407290,"Wisconsin","Waukesha County","Milwaukee-Waukesha, WI"
"06061","Placer County, CA","County",406608,"California","Placer County","Sacramento-Roseville-Folsom, CA"
"42340","Savannah, GA","Metro",406575,"","","Savannah, GA"
"29183","St. Charles County, MO","County",406262,"Missouri","St. Charles County","St. Louis, MO-IL"
"12081","Manatee County, FL","County",405069,"Florida","Manatee County","North Port-Sarasota-Bradenton, FL"
"11260","Anchorage, AK","Metro",399335,"","","Anchorage, AK"
"05119","Pulaski County, AR","County",398322,"Arkansas","Pulaski County","Little Rock-North Little Rock-Conway, AR"
"13140","Beaumont-Port Arthur, TX","Metro",396279,"","","Beaumont-Port Arthur, TX"
"2079000","Wichita, KS","City",395951,"Kansas","Sedgwick County","Wichita, KS"
"12097","Osceola County, FL","County",393745,"Florida","Osceola County","Orlando-Kissimmee-Sanford, FL"
"4804000","Arlington, TX","City",393469,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX"
"43340","Shreveport-Bossier City, LA","Metro",391957,"","","Shreveport-Bossier City, LA"
"01089","Madison County, AL","County",389781,"Alabama","Madison County","Huntsville, AL"
"1271000","Tampa, FL","City",388768,"Florida","Hillsborough County","Tampa-St. Petersburg-Clearwater, FL"
"39017","Butler County, OH","County",388327,"Ohio","Butler County","Cincinnati, OH-KY-IN"
"0804000","Aurora, CO","City",387349,"Colorado","Arapahoe County","Denver-Aurora-Lakewood, CO"
"12069","Lake County, FL","County",386829,"Florida","Lake County","Orlando-Kissimmee-Sanford, FL"
"45220","Tallahassee, FL","Metro",386064,"","","Tallahassee, FL"
"18003","Allen County, IN","County",385456,"Indiana","Allen County","Fort Wayne, IN"
"33860","Montgomery, AL","Metro",384740,"","","Montgomery, AL"
"37067","Forsyth County, NC","County",383739,"North Carolina","Forsyth County","Winston-Salem, NC"
"45940","Trenton-Princeton, NJ","Metro",383732,"","","Trenton-Princeton, NJ"
"34021","Mercer County, NJ","County",383732,"New Jersey","Mercer County","Trenton-Princeton, NJ"
"19340","Davenport-Moline-Rock Island, IA-IL","Metro",382983,"","","Davenport-Moline-Rock Island, IA-IL"
"21660","Eugene-Springfield, OR","Metro",382218,"","","Eugene-Springfield, OR"
"41039","Lane County, OR","County",382218,"Oregon","Lane County","Eugene-Springfield, OR"
"2255000","New Orleans, LA","City",380408,"Louisiana","Orleans Parish","New Orleans-Metairie, LA"
